T,mbatch,time_cost,best,lowerbound
0.5,1,0.750333309173584,18679.0,16218.0
0.5,2,0.8966686725616455,22595.0,19436.0
0.5,3,1.059023380279541,27312.0,23156.0
0.5,4,1.2299480438232422,46312.0,24690.0
0.5,5,1.2620773315429688,inf,0.0
0.5,6,1.4625389575958252,inf,0.0
0.5,7,1.7073099613189697,inf,0.0
0.5,8,1.8102145195007324,inf,0.0
0.5,9,1.9120430946350098,inf,0.0
1,1,1.27024245262146,17940.0,16225.0
1,2,1.3992640972137451,21935.0,19436.0
1,3,1.5390675067901611,26290.0,23156.0
1,4,1.6822330951690674,28929.0,24690.0
1,5,1.7911148071289062,30721.0,25235.0
1,6,1.9668891429901123,29969.0,25895.0
1,7,1.8110430240631104,inf,0.0
1,8,2.102825164794922,inf,0.0
1,9,2.4426021575927734,inf,0.0
2,1,2.2456843852996826,17655.0,16235.0
2,2,2.4129719734191895,21437.0,19436.0
2,3,2.561025857925415,26290.0,23156.0
2,4,2.677272319793701,28516.0,24690.0
2,5,2.8282828330993652,30290.0,25235.0
2,6,2.942628860473633,29520.0,25895.0
2,7,3.092515468597412,32743.0,27425.0
2,8,3.2916150093078613,35631.0,29812.0
2,9,3.4440112113952637,40873.0,32498.0
4,1,4.280295372009277,17567.0,16250.0
4,2,4.399655818939209,21437.0,19436.0
4,3,4.523383617401123,25802.0,23156.0
4,4,4.664171934127808,28018.0,24690.0
4,5,4.852962255477905,30053.0,25235.0
4,6,5.042037487030029,29581.0,25895.0
4,7,5.155901193618774,32507.0,27425.0
4,8,5.258267164230347,35632.0,29812.0
4,9,5.404875040054321,35623.0,32498.0
8,1,8.282190561294556,17567.0,16281.0
8,2,8.418747425079346,21437.0,19436.0
8,3,8.53538966178894,25336.0,23156.0
8,4,8.699804782867432,27579.0,24690.0
8,5,8.821728229522705,30300.0,25235.0
8,6,8.983795404434204,29520.0,25895.0
8,7,9.152127981185913,32449.0,27425.0
8,8,9.278983116149902,35376.0,29812.0
8,9,9.453838109970093,35623.0,32498.0
